id,kategooria,alamteema,lahendusvotted
2017-v2g-02,kinemaatika,autodevaheline vahemaa,"Kasutage liikumise seadusi ja suhtelist liikumist, et leida vajalik vahemaa ja kiirus."
2017-v2g-03,dünaamika,pendli pinge,Kasutage jõudude tasakaalu seadust ja analüüsige jõudude komponente amplituudiasendis ja tasakaaluasendis.
2017-v2g-04,geomeetriline optika,murdumisnäitaja muutus,"Kasutage Snelli seadust, et leida nurkade muutus ja seeläbi kiirus muutus segus."
2017-v2g-05,geomeetriline optika,läätsed,"Kasutage läätsede fookuse ja asukoha seoseid, et leida nõgusläätse fookus ja kujutise asukoht."
2017-v2g-06,gaasid,rõhu muutumine,"Kasutage ideaalse gaasi olekuvõrrandit ja massi jäävuse seadust, et leida rõhu suhe enne ja pärast tahkumist."
2017-v2g-07,dünaamika,tsentrifugaaljõud,"Kasutage jõudude tasakaalu ja tsentrifugaaljõu valemit, et leida pöörlemise periood."
2017-v2g-08,gaasid,anuma tugevus,Kasutage anuma massi ja terase tiheduse kaudu seina paksuse arvutamiseks ning analüüsige rõhu tekitatud tõmbepinget anuma seintes.
2017-v2g-09,elektrostaatika,laengud ja jõud,Kasutage jõudude tasakaalu ja harmoonilise võnkumise valemit.
2017-v2g-10,termodünaamika,soojusülekande tasakaal,"Kasutage soojusülekande ja niiskuse tasakaalu võrrandeid, et leida vajalik küttevõimsus ja ventileerimise õhuruumala."
2017-v3g-01,dünaamika,hõõrdumine ja energia,"Kasutage potentsiaalse energia ja hõõrdejõu vahelisi seoseid, et leida liuglemiseks vajalik teepikkus."
2017-v3g-02,dünaamika,kaldenurk,"Kasutage töö ja energia seadust, et seostada ratturi poolt tehtud töö ja potentsiaalse energia muutus."
2017-v3g-03,dünaamika,laserkiire eraldumine,"Kasutage murdumisseadust ja väikeste nurkade approximatsiooni, et leida kaugus, kus erineva lainepikkusega kiired on täielikult eraldunud."
2017-v3g-05,dünaamika,liikumise kiirus ja kiirendus,"Kasutage kiirus- ja kiirenduse seoseid ning rakendage Newtoni seadusi, et leida reisija mass."
2017-v3g-06,elektriahelad,Kirchoffi seadused,Kasutage Kirchoffi seadusi voolude ja pingete arvutamiseks skeemis.
2017-v3g-07,gaasid,õhu temperatuur,"Rakenda termodünaamika esimest seadust, et leida õhu temperatuur õhupallis pärast täitmist."
2017-v3g-08,geomeetriline optika,läätsed ja vaatenurk,"Kasutage läätsede fookuskauguse ja kauguse seoseid, et leida nõgusläätse kaugus ja fookuskaugus."
2017-v3g-09,staatika,tasakaal ja jõudude analüüs,"Kasutage jõudude tasakaalu seadust ja geomeetrilisi suhteid, et leida silindri raadius ja stabiilsuse tingimused."
2017-v3g-10,magnetism,elektronide trajektoorid,"Kasutage Newtoni teise seadust ja ringliikumise seadusi, et leida elektronide trajektoor ja maksimaalne kaugus ekraanist."
2018-lahg-01,geomeetriline optika,kujutise liikumine,"Kasutage läätse valemit ja liikumise säilitamise seadust, et leida kujutise kiirus."
2018-lahg-02,elektriahelad,takistite ühendamine,"Kasutage takistite jadamisi ja rööbiti ühendamise reegleid, et leida vajalik kogutakistus."
2018-lahg-03,elektriahelad,voolu ja pingete arvutamine,Kasutage Kirhoffi seadusi ja ekvivalentskeemide koostamist voolu ja pingete leidmiseks.
2018-lahg-04,dünaamika,projektilehe viskamine,"Kasuta horisontaalse ja vertikaalse liikumise analüüsi, et leida kahurite kuulide kiirus ja kokkupõrke aeg."
2018-lahg-05,dünaamika,hüppe kõrgus,Võrdle hüppajate poolt tehtud tööd ja kasuta energia jäävuse seadust.
2018-lahg-06,magnetism,prootoni liikumine magnetväljas,"Kasutage tsentripetaaljõu ja magnetjõu võrdust, et leida prootoni minimaalne kiirus, et see jõuaks teise magnetvälja."
2018-lahg-07,dünaamika,veesamba mõju,"Kasutage impulsi ja jõu seoseid, et analüüsida veesamba mõju kaalu näidule."
2018-lahg-08,geomeetriline optika,täisnurkne kolmnurk,"Kasutage Thalese teoreemi ja ringjoone omadusi, et leida täisnurkse tipu tegelik asukoht."
2018-lahg-09,termodünaamika,soojusülekanne,"Kasutage soojusvoo valemit ja analüüsige graafiku tõusu, et leida soojusvõimsus ja kasutegur."
2018-lahg-10,kinemaatika,pöörlemine,Kasutage massikeskme nihke arvutamiseks sirgjoonelise liikumise ja pöörlemise seoseid.
2018-v2g-01,vedelike mehaanika,kontraktsioon,"Leidke masside kaudu ruumalad, arvestades tihedust ja kontraktsiooni."
2018-v2g-02,geomeetriline optika,valgusallikad,"Kasutage sarnaste kolmnurkade omadusi, et leida teise valgusallika kaugus läätse keskpunktist."
2018-v2g-03,termodünaamika,radiaatori soojusvahetus,Kasutame radiaatori võimsuse ja temperatuuri vahe vahelise seose leidmiseks ning lahendame võrrandisüsteemi.
2018-v2g-04,vedelike mehaanika,pumba võimsus,"Kasutada jõudude tasakaalu ja pumba võimsuse valemit, et leida vajalikud väärtused."
2018-v2g-05,dünaamika,tsentrifugaaljõud,"Kasutada jõumomentide tasakaalu, et leida maksimaalne kiirus, vältides libisemist."
2018-v2g-06,taevamehaanika,satelliitide liikumine,"Kasutage jõudude tasakaalu ja kesktõmbejõu valemit, et leida satelliitide joonkiirus."
2018-v2g-07,vedelike mehaanika,massikeskme stabiilsus,"Kasutage massikeskme ja veesamba kõrguse seoseid, et leida tasakaalu tingimus."
2018-v2g-08,elektriahelad,lampide ühendamine,"Ühenda lambid kahekaupa jadamisi ja seejärel 6 sellist ahelat rööbiti, et tagada igale lambile nominaalpinge."
2018-v2g-09,staatika,nööri nurk,"Kasuta jõudude tasakaalu ja hõõrdejõudude võrrandit, et leida minimaalne kelgunööri nurk."
2018-v2g-10,magnetism,tsüklotron,"Kasutage osakese trajektoori raadiuse ja kineetilise energia seoseid, et leida täisringide arv n."
2018-v3g-01,geomeetriline optika,läätse ja kujutise analüüs,"Kasutage kiirte käigu seadusi ja analüüsige iga läätse eraldi, et määrata uue kujutise asukoht ja omadused."
2018-v3g-02,vedelike mehaanika,Bernoulli seadus,Kasutage Bernoulli seadust ja vooluhulga säilimise printsiipi.
2018-v3g-03,geomeetriline optika,läätsed ja murdumisnäitajad,Kasutage läätse fookuskauguse leidmiseks murdumisnäitajate ja kauguste vahelisi seoseid.
2018-v3g-04,dünaamika,pendel,"Kasutage energia jäävuse seadust ja tasakaalu tingimusi, et leida nurk, mille korral niidi pinge on null."
2018-v3g-05,termodünaamika,kondenseerumine,Kastepunkti leidmiseks arvuta küllastunud veeauru osarõhk ja seejärel leia vastav kastepunkt.
2018-v3g-06,elektrostaatika,elektriväli mõju,"Kasutage jõudude tasakaalu ja võnkeperioodi analüüsi, et leida kuuli uus tasakaaluasend elektrivälja mõjul."
2018-v3g-07,elektriahelad,takistite arvutamine,Kasutage Kirchhoffi seadusi ja Ohmi seadust takistite leidmiseks.
2018-v3g-08,gaasid,adiabaatiline protsess,"Kasutage gaasi olekuvõrrandit ja tõstejõu valemit, et leida kõrgus, kus tõstejõud väheneb 1% võrra."
2018-v3g-09,elektriahelad,kondensaatori laeng,"Kasutage kondensaatori energia ja patarei töö seoseid, et leida lampi läbiv laeng."
2018-v3g-10,elektrostaatika,kuulide liikumine elektriväljas,"Kasutage energia jäävuse seadust ja potentsiaalide vahe arvutamist, et leida kuulide kiirus."
2019-lahg-01,kinemaatika,kiirus ja kiirendus,Arvuta Juku ja teise auto jõudmise aeg ristmikuni ning kasuta kiirus- ja kiirenduse valemeid.
2019-lahg-02,dünaamika,potentsiaalne energia,Kasutage potentsiaalse energia valemit ja võrrelge energiavajadust energiatihedusega.
2019-lahg-03,geomeetriline optika,läätse fookuskaugus,"Kasutage läätse valemit ja ruutvõrrandi lahendamist, et leida tingimused tõelise kujutise tekkimiseks."
2019-lahg-04,elektrostaatika,laengute mõju,Kasutage Newtoni kolmandat seadust ja analüüsige laengute mõju tasandile.
2019-lahg-05,dünaamika,elastne põrge,"Kasutage energia jäävuse seadust, et leida kuuli maksimaalne kõrgus pärast põrget."
2019-lahg-06,elektriahelad,kondensaatori mahtuvus,"Kasutage pinge jaotumise võrrandit ning näivtakistuse valemit, et leida vajalik kondensaatori mahtuvus."
2019-lahg-07,kinemaatika,kiirus ja kiirusjaotus,"Tähista alumise ja ülemise rõngaste kaugused nurgast vastavalt kui $x$ ja $y$, seejärel kasuta ajalisi tuletisi kiirus- ja kiirenduse leidmiseks."
2019-lahg-08,termodünaamika,gaasi rõhk,"Kasutage impulsi ja energia jäävuse seadust, et leida gaasi rõhk anuma põhjas."
2019-lahg-09,magnetism,elektrilaeng ja magnetväli,"Kasutage Ampère'i seadust ja impulsi säilitamise seadust, et leida kuulikeste trajektoorid magnetväljas."
2019-lahg-10,taevamehaanika,Maa kumerus,"Kasutage geomeetrilisi lähendusi ja trigonometrilisi suhteid, et leida horisondi kõrguse muutus kaamera pildil."
2019-v2g-01,kinemaatika,rongide liikumine,Kasutage kiirus-aja seoseid ja lahendage saadud võrrandisüsteem.
2019-v2g-02,geomeetriline optika,peegeldumine,"Pikendage kiiri, et leida lõikepunktid ja ühendage need, et määrata peegli asukoht."
2019-v2g-03,geomeetriline optika,kumerlääts,Kasutage läätse valemit ja analüüsige kärbse ja tema kujutise liikumise suundi.
2019-v2g-04,termodünaamika,vakumitekitamine,"Kasutage töö ja energia seoseid, et leida vajalik töö ja kuuli kiirus."
2019-v2g-05,magnetism,Lorentzi jõud,"Kasutage Lorentzi jõu ja tsentrifugaaljõu tasakaalu, et leida ringjoone raadius ja seega magnetvälja ala laius."
2019-v2g-06,elektriahelad,kondensaatori laadimine,Kasutage Ohmi seadust ja analüüsige voolu kondensaatori laadimise ajal.
2019-v2g-07,dünaamika,üleslükkejõud,"Kasutada üleslükkejõu ja õhu tiheduse seost, et leida vajalik kiirus ja hoovõturaja pikkus."
2019-v2g-08,dünaamika,granaadi plahvatus,Kasutage liikumisvõrrandeid ja analüüsige kildude liikumist massikeskme süsteemis.
2019-v2g-09,dünaamika,kiikumine ja jõud,Kasutada jõudude ja jõumomentide tasakaalu seadusi ning energia jäävuse seadust.
2019-v2g-10,elektriahelad,dioodide võimsus,"Analüüsi dioodide avanemist järjestikku, et leida iga dioodi pingelang ja seejärel arvuta võimsus P = U * I."
2019-v3g-01,kinemaatika,pidurdusaeg,"Kasutage suhtelist kiirus ja pidurdusteekonna valemit, et leida aeg, mis kulus autode peatumiseks."
2019-v3g-02,dünaamika,hõõrdejõud,"Kasutage rõhu ja jõu seoseid, et arvutada vajalik hõõrdejõu moment."
2019-v3g-03,kinemaatika,trajektoor,"Kasutage ringjoonte konstruktsiooni ja kiirus-täpsuse seoseid, et leida lennuki võimalikud asukohad."
2019-v3g-04,kinemaatika,konveierite liikumine,"Kasutage kiirus- ja hõõrdejõu tasakaalu seadusi, et leida aeg, mis kulub plaadi liikumiseks konveieril."
2019-v3g-05,dünaamika,põrge ja energia,"Kasutage energia säilitamise seadust ja põrke seadusi, et leida vajalik algkiirus."
2019-v3g-06,dünaamika,tsüklotronperiood,"Kasutage tsüklotronperioodi valemit, et leida kuulike viibimise aeg silindris."
2019-v3g-07,elektriahelad,ampermeetri näidud,"Kasutage Kirchoffi seadusi ja analüüsige takistite ühendusi, et leida voolud."
2019-v3g-08,kinemaatika,minimaalne kiirus,"Kasutage geomeetrilisi suhteid ja trigonometrilisi funktsioone, et leida kärbse minimaalne kiirus tema kujutise suhtes."
2019-v3g-09,elektrostaatika,indutseeritud laeng,Kasutage superpositsiooniprintsiipi ja potentsiaali arvutamist.
2019-v3g-10,elektrostaatika,pöörduv elektriväli,"Kasutage osakese liikumise analüüsi ja impulsi säilitamise seadust, et leida trajektoori läbimõõt."
2020-lahg-01,vedelike mehaanika,alarõhk,"Kasutage Bernoulli võrrandit ja isotermilise protsessi omadusi, et leida maksimaalne vedeliku ruumala."
2020-lahg-02,geomeetriline optika,kumerlääts,"Kasutage kumerläätsede fookuse ja optilise keskpunkti seadusi, et leida ruudu tippude kujutised."
2020-lahg-03,varia,kriitiline nurk,"Kasutage Snelli seadust, et leida vajalik kõverusraadius, et valgusvihk ei peegelduks."
2020-lahg-04,taevamehaanika,näiv kiirus,"Kasutage liikumise ja nurkade geomeetrilisi seoseid, et leida näiv kiirus ja arvestada valguse kiirusest suurema tulemuse võimalikkust."
2020-lahg-05,elektrostaatika,induktsioon,"Kasutage Faraday induktsiooniseadust ja arvutage elektromotoorjõud kontuuris, et leida voolutugevus."
2020-lahg-06,elektriahelad,kondensaatorite ühendamine,Kasutage laengu jäävuse seadust ja kondensaatorite pingete seoseid.
2020-lahg-07,staatika,jõudude tasakaal,"Kirjuta üles jõudude tasakaal vertikaalsihis ja leia hõõrdeteguri minimaalne väärtus, et vältida liikumist."
2020-lahg-08,termodünaamika,Stefan-Boltzmanni seadus,"Kasutage Stefan-Boltzmanni seadust, et leida vaskplaadi tegelik temperatuur seoses kiirguse intensiivsuse ja neeldumisteguriga."
2020-lahg-09,taevamehaanika,Maa orbiit,"Kasutada Kepleri seadusi, et leida suve ja talve pikkused vastavalt ellipsi pindaladele."
2020-lahg-10,dünaamika,kuuli liikumine koonusel,"Kasutage jõudude tasakaalu ja liikumise seadusi, et analüüsida koonuse pinnal toimivaid jõude."
2020-v2g-01,termodünaamika,soojushulkade arvutamine,"Kasutage soojushulkade võrdlemise meetodit, et leida kerise temperatuuri muutus külma ja kuuma vee puhul."
2020-v2g-02,dünaamika,ringliikumine,"Kasuta jõudude tasakaalu ja tsentrifugaaljõu võrrandeid, et leida joonkiirus ja pöörlemise sagedus."
2020-v2g-03,dünaamika,energiakadu,"Kasutage energia säilitamise seadust, arvestades potentsiaalse energia muutust ja üleslükkejõu tööd."
2020-v2g-04,elektriahelad,takistuse leidmine,"Kasutage sümmeetriat ja lihtsustage ahelat, et leida takistus punktide 1 ja 2 vahel."
2020-v2g-05,kinemaatika,maksimaalne lennukaugus,"Kasutage energia säilitamise seadust ja kinemaatilisi võrrandeid, et leida maksimaalne lennukaugus."
2020-v2g-06,dünaamika,osutite liikumine,Arvuta osutite maksimaalne võimsus ja võrdle seda vooluallika kasuliku võimsusega.
2020-v2g-07,termodünaamika,soojusbilanss,"Kasutada soojusbilansi seadust, et leida õhu temperatuuri muutus, arvestades veeauru ja õhu erisoojusi."
2020-v2g-08,elektriahelad,dioodide voolu-pinge omadused,"Kasutage dioodide voolu-pinge seadust ja paralleelühenduse omadusi, et leida voolude ja võimsuste erinevused."
2020-v2g-09,dünaamika,laengud magnetväljas,Kasutage osakeste trajektooride analüüsimiseks geomeetrilisi ja trigonomeetrilisi meetodeid.
2020-v2g-10,geomeetriline optika,teleskoobi suurendus,Kasutage läätsede fookuskauguste liitmise reeglit ja nurksuurenduse valemit.
2020-v3g-01,geomeetriline optika,murdumisnäitaja,"Kasutage Snelli seadust ja väikeste nurkade lähendust, et leida murdumisnäitaja."
2020-v3g-02,dünaamika,ringliikumine,"Kasutage rõhu ja kiirusmõjude tasakaalu analüüsi, et näidata, et kohukesed ei lömastu."
2020-v3g-03,dünaamika,elektrivool,"Kasutage Ohmi seadust ja arvutage vasktoru takistus, et leida vajalik pikkus."
2020-v3g-04,dünaamika,resonants,Kasutage vedrupendli perioodi valemit ja seostage see koosinuslaine sagedusega.
2020-v3g-05,elektriahelad,takistus ja ühendused,"Kasutage takistite ühendamise reegleid, et leida ekvivalentne takistus."
2020-v3g-06,kinemaatika,projektiilide liikumine,"Kasutage projektiili liikumise võrrandeid, et leida nõlva kõrgusprofiil."
2020-v3g-07,staatika,hõõrdetegur,"Kasutage jõudude tasakaalu ja geomeetrilisi suhteid, et leida minimaalne hõõrdetegur."
2020-v3g-08,geomeetriline optika,peegeldus,Kasutage peegeldus seadust ja joonistage kiirte käik peeglite vahel.
2020-v3g-09,vedelike mehaanika,õhupallide paisumine,"Kasutage jõudude tasakaalu ja elastsuse seadusi, et leida õhupallide uued raadiused."
2020-v3g-10,elektriahelad,takistus,Kasutage superpositsiooniprintsiipi ja sümmeetriat takistuse arvutamiseks.
2021-lahg-01,gaasid,ideaalse gaasi seadus,"Kasutage ideaalse gaasi olekuvõrrandit, et leida rõhk temperatuurimuutuse korral."
2021-lahg-02,dünaamika,plokisüsteem,"Kasutage Newtoni seadusi ja energia jäävuse printsiipi, et leida kõrgus, kuhu väiksem raskus tõuseb."
2021-lahg-03,geomeetriline optika,kumerpeegel,"Kasutage peegli fookuse ja optilise peatelje seadusi, et konstrueerida kumerpeegel, mis loob soovitud kujutised."
2021-lahg-04,termodünaamika,suhteline niiskus,"Kasutage ideaalse gaasi olekuvõrrandit ja suhtelise niiskuse definitsiooni, et leida vajalikud temperatuurid."
2021-lahg-05,vedelike mehaanika,tiheduse muutumine,"Kasutage tiheduse ja rõhu seoseid, et leida vedeliku taseme muutus pärast jää sulamist ja segunemist."
2021-lahg-06,kinemaatika,kaugusvise,"Kasutage viskenurga ja kiiruskomponentide analüüsi, et maksimeerida lennukaugust."
2021-lahg-07,dünaamika,pöörlemine,Kasutage energia jäävuse seadust ja analüüsige jõudude tasakaalu süsteemis.
2021-lahg-08,taevamehaanika,orbiidid ja manöövrid,Kasutage gravitatsioonivälja potentsiaalset energiat ja impulsi jäävuse seadust.
2021-lahg-09,dünaamika,pidurdus ja hõõrdumine,"Kasutage jõudude ja jõumomentide tasakaalu seadusi, et leida nõuded hõõrdetegurile."
2021-lahg-10,elektriahelad,takistus,Kasutage sarnaste kolmnurkade omadusi ja ekvivalentskeemide analüüsi takistuse leidmiseks.
2021-v2g-01,dünaamika,kuuli tiirlemisperiood,Kasutage pöörleva taustsüsteemi ja jõudude tasakaalu seadust.
2021-v2g-02,termodünaamika,vees ja jääd,"Kasutage ideaalgaasi seadust ja massi säilitamise seadust, et leida maksimaalne vee kogus pudelis."
2021-v2g-03,varia,soojusvahetus,"Kasutage energia jäävuse seadust ja keskmise temperatuuri arvutamist, et analüüsida segamise võimalusi."
2021-v2g-04,dünaamika,batüskaafi tõus,"Kasutage jõu ja töö seoseid, et leida vajalik aeg vee pumpamiseks."
2021-v2g-05,elektriahelad,maksimaalne võimsus,Kasutage võimsuse avaldist ja leidke maksimum ruutfunktsiooni kaudu.
2021-v2g-06,kinemaatika,liikumise tõenäosus,"Kasutage geomeetrilisi tõenäosusi, et määrata auto ja jalgratturi alguspunktide vaheline suhe."
2021-v2g-07,elektrostaatika,rippuv laeng,"Kasutage jõudude tasakaalu seadust, et leida mass, mille korral jõudude summa on null."
2021-v2g-08,laineoptika,lainejuhtide peegeldus,"Kasutage intensiivsuse sõltuvust peegeldustegurist ja kaugusest, et leida maksimaalne levimiskaugus."
2021-v2g-09,geomeetriline optika,läätse asukoht,Kasutage kiirusvektorite pikendamist ja sirgete lõikepunktide leidmist läätse tasandil.
2021-v2g-10,dünaamika,tõmbejõud,"Kasutage jõudude tasakaalu seadust, et leida köie minimaalne tõmbejõud."
2021-v3g-01,kinemaatika,horisontaalne viskamine,"Kasutage vertikaalse ja horisontaalse liikumise võrrandeid, et leida lumepalli algkiirus."
2021-v3g-02,termodünaamika,soojuskadude võimsus,Kasutage ideaalse gaasi olekuvõrrandit ja seostage soojuskadude võimsus ajavahemiku jooksul.
2021-v3g-03,geomeetriline optika,kumerläätse fookuskaugus,Kasutage kumerläätse fookuse valemit ja sarnaste kolmnurkade omadusi.
2021-v3g-04,dünaamika,hõõrdetegur,"Kasutage kiirus- ja kiirenduse seoseid, et leida minimaalse sõiduaja arvutamiseks vajalikud ajaperioodid."
2021-v3g-05,elektriahelad,võimsus,"Kasutage Ohmi seadust ja võimsuse valemit, et leida takistuse väärtused erinevates olukordades."
2021-v3g-06,dünaamika,keha kaal laiuskraadist,Kasutage tsentrifugaaljõu ja gravitatsioonijõu tasakaalu analüüsi.
2021-v3g-07,elektrostaatika,laengute suhted,"Kasutage Coulombi seadust ja analüüsige resultantjõude, et leida laengute suhted, mis tagavad sirgjoonelise liikumise."
2021-v3g-08,vedelike mehaanika,veesamba rõhk,"Kasutage rõhu ja kiirenduse seoseid, et leida veesamba kiirus ja rõhkude vahe."
2021-v3g-09,vedelike mehaanika,murdumisnäitaja,"Kasutage läätse optilise tugevuse valemit ja väikeste nurkade lähendust, et leida tundmatu vedeliku murdumisnäitaja."
2021-v3g-10,elektrostaatika,Lorentzi jõud,"Kasutage Ampère'i seadust ja Lorentzi jõu valemit, et analüüsida elektroni liikumist magnetväljas."
2022-lahg-01,vedelike mehaanika,soolsus ja tasakaal,"Kasutage tasakaalu seadust, et võrrelda sissetuleva ja väljamineva vee ning soola koguseid."
2022-lahg-02,staatika,jõudude tasakaal,"Rakenda jõudude tasakaalu seadus, et leida pliiatsi tipunurk."
2022-lahg-03,kinemaatika,liikumine eskalaatoril,"Kasutage Snelli seadust ja väikeste nurkade lähendusi, et leida optimaalne nurk."
2022-lahg-04,termodünaamika,sublimeerumine,"Kasutage energia tasakaalu ja gaasi seadusi, et leida lõpptemperatuur ja rõhk tünnis."
2022-lahg-05,elektriahelad,reostaadid,"Kasutage Ohmi seadust ja paralleelsete takistite valemit, et leida ühendatud plaatide takistus."
2022-lahg-06,gaasid,kastepunkt,"Kasutage ideaalse gaasi olekuvõrrandit ja graafikute analüüsi, et leida kastepunkti muutus."
2022-lahg-07,elektrostaatika,elektronide liikumine,"Kasutage Newtoni seadusi ja elektrivälja tugevuse valemit, et leida minimaalne algkiirus."
2022-lahg-08,dünaamika,laeva võnkumine,"Kasutage vedrupendli mudelit ja Newtoni teooriat, et analüüsida laeva võnkumist ja leida tühimass."
2022-lahg-09,varia,kumerlääts,"Kasutage läätsede murdumisnurka ja geomeetrilisi suhteid, et leida minimaalne nurk, mille korral spioon näeb koera."
2022-lahg-10,dünaamika,pöörlemine,"Kasutage jõumomendi tasakaalu seadust, et leida nurkkiirus."
2022-v2g-01,geomeetriline optika,peegeldumine,"Konstrueerige kiirte käik, kasutades peegeldumise seadust ja peeglite kujutisi."
2022-v2g-02,elektriahelad,juhtmete takistus,"Kasutage Ohmi seadust ja arvutage juhtme takistus ning vool, et leida eralduv võimsus."
2022-v2g-03,dünaamika,hõõrdetegur,"Kasutage energia jäävuse seadust ja hõõrdejõu tasakaalu, et leida hõõrdetegur."
2022-v2g-04,termodünaamika,soojusvahetus,"Kasutage soojusvahetuse võimsuse võrrandeid, et leida temperatuurierinevus."
2022-v2g-05,taevamehaanika,geostatsionaarne orbiit,"Kasutage Kepleri seadusi ja tasakaalu jõudude analüüsi, et leida geostatsionaarse orbiidi raadius."
2022-v2g-06,kinemaatika,põrge ja kõrgus,"Kasutage liikumise seadusi, et leida vajalikud ajad ja kiirus, arvestades kõrguste erinevusi."
2022-v2g-07,dünaamika,impulsi jäävus,"Kasutage impulsi jäävuse seadust ja potentsiaalse energia muutust, et leida plaadi uue tasakaaluasendi kõrgus."
2022-v2g-08,termodünaamika,rõhk ja temperatuur,"Kasutage ideaalgaasi seadust ja küllastunud veeauru rõhu graafikut, et leida rõhkude vahe."
2022-v2g-09,elektrostaatika,plaatkondensaator,"Kasutage plaatkondensaatori mahtuvuse ja elektrivälja tugevuse seoseid, et leida laengu kadu."
2022-v2g-10,kinemaatika,põrgete analüüs,"Kasutage graafiku andmeid, et arvutada iga põrke ajal kineetilise energia ja heli intensiivsuse suhe."
2022-v3g-01,dünaamika,vastutuul ja jõud,Kasutage jõudiagrammi ja analüüsige takistusjõu ja üleslükkejõu mõju ketta lennule.
2022-v3g-02,kinemaatika,liikumise aeg,"Kasutage liikumise aega ja kiirusformuleid, et võrrelda teekondi."
2022-v3g-03,elektriahelad,takistus,"Jagage silinder kaheks poolsilindriks ja arvutage kummagi takistus, seejärel liitke need rööbiti."
2022-v3g-04,geomeetriline optika,läätsed,"Kasutage läätsede fookuspunktide ja kauguse seoseid, et leida ekraani õige asukoht."
2022-v3g-05,dünaamika,tõusunurk ja kiirus,"Kasutage jõudude tasakaalu ja energia säilitamise seadust, et leida tõusunurk ja maksimaalne kiirus."
2022-v3g-06,dünaamika,adiabaatiline paisumine,Kasutage adiabaadiseadust $pV^\gamma=const$ ja temperatuuri avaldust $T_1=T_0(p_0/p_1)^{\frac{\gamma - 1}{\gamma}}$.
2022-v3g-07,vedelike mehaanika,sadevee äravool,"Kasutage võrrandisüsteemi, et leida kraavi mahutavus ja äravoolu kiirus, et vältida uputust."
2022-v3g-08,dünaamika,kaalu muutumine,"Kasutage massi ja impulsi muutumise seadusi, et analüüsida kaalu muutumist ajas."
2022-v3g-09,termodünaamika,soojuskiirgus,Kasutada soojuskiirguse tasakaalu seadust ja Stefan-Boltzmanni seadust temperatuuri arvutamiseks.
2022-v3g-10,elektrostaatika,indutseeritud laengud,Kasutage Coulomb'i seadust ja tasakaalu tingimusi indutseeritud laengute analüüsimiseks.
2023-lahg-01,kinemaatika,vertikaalne kiirus,"Kasutage horisontaalse nihke ja kukkumise aega seoseid, et leida piiskade vertikaalne kiirus tuule suunaga."
2023-lahg-02,geomeetriline optika,kumerpeegel,Kasutage peegeldumise seadust ja mõõtke kujutise ja eseme suuruste suhet.
2023-lahg-03,staatika,elastsusjõud,"Kasutage jõudude tasakaalu ja elastsuse seadust, et leida läbivajumine."
2023-lahg-04,elektriahelad,kondensaatorite laadimine,Kasutage energia ja laengu jäävuse seadusi kondensaatorite vahelise laadimise analüüsimiseks.
2023-lahg-05,dünaamika,kiirus ja kiirendus,"Kasutage jõu ja massi seost, et leida kiirusest sõltuv kiirus ja kiirendus."
2023-lahg-06,dünaamika,mootori efektiivsus,"Kasutage ideaalgaasi seadust ja mootori töötsüklit, et arvutada kütuse mass ja tippvõimsus."
2023-lahg-07,termodünaamika,soojuspump,"Kasutage soojusmahtuvuse ja soojuskadude võimsuse seoseid, et leida ajavahemik kahe järjestikuse sisse lülitumise vahel."
2023-lahg-08,geomeetriline optika,läätsed,"Kasutage Snelli seadust ja Pythagorase teoreemi, et leida kõverusraadius ja fookuskaugus."
2023-lahg-09,dünaamika,kiirus ja kiirendus,"Kasutage jõumomentide tasakaalu ja Newtoni seadusi, et leida kiirus ja kiirendus ühendatud süsteemile."
2023-lahg-10,dünaamika,magnetväljad,"Kasutage sümmeetri ja nurkade seoseid, et leida magnetväljade tugevuste suhe."
2023-v2g-01,geomeetriline optika,läätsed,"Kasutage läätsede fookuskauguste suhet ja joonistage skeemid, et näidata valgusvihkude muutumist."
2023-v2g-02,termodünaamika,otsene kalorimeetria,"Kasutage energia jäävuse seadust ja arvutage soojushulk, mis veele lisandub, et leida inimese kehast eralduva soojuse võimsus."
2023-v2g-03,dünaamika,õhutakistus,"Kasutage energia ja töö seadusi, et leida kütusekulude suhe linnas ja maanteel."
2023-v2g-04,dünaamika,drooni kiirus,"Kasutage jõu ja kiirenduse seoseid, et leida drooni horisontaalsuunaline kiirus antud ajahetkel."
2023-v2g-05,dünaamika,vedrude jäikus,Kasutage Hooke'i seadust ja ringliikumise jõudude tasakaalu.
2023-v2g-06,varia,klaasplaadi murdumine,Kasutage Snelli seadust ja geomeetrilisi suhteid kolmnurkades.
2023-v2g-07,elektriahelad,pingemõõtmine,"Kasutage Ohmi seadust ja pinged takistuste vahel, et leida voltmeetri näit."
2023-v2g-08,dünaamika,põrked ja energia,Kasutage energia säilitamise seadust ja analüüsige kera liikumist süvendi põhjas ja servas.
2023-v2g-09,termodünaamika,küllastunud veeauru rõhk,"Kasutage ideaalse gaasi olekuvõrrandit ja suhtelise õhuniiskuse definitsiooni, et leida küllastunud veeauru rõhk ja selle muutus."
2023-v2g-10,elektriahelad,pinged ja takistused,"Kasutage Kirchoffi seadusi, et leida pinge ja takistuse seosed, ning arvutage juhtme pikkus takistuse ja eritakistuse põhjal."
2023-v3g-01,dünaamika,pidurdusjõud,Analüüsi jõudude tasakaalu ja inertsuse mõju reisijatele pidurdamise ajal.
